"year","jw","county","cases","biweek"
2009,1,"Alachua",0,1
2009,1,"Bay",0,1
2009,1,"Brevard",2,1
2009,1,"Broward",0,1
2009,1,"Charlotte",0,1
2009,1,"Citrus",0,1
2009,1,"Clay",0,1
2009,1,"Collier",0,1
2009,1,"Columbia",0,1
2009,1,"Desoto",0,1
2009,1,"Duval",0,1
2009,1,"Escambia",0,1
2009,1,"Flagler",0,1
2009,1,"Franklin",0,1
2009,1,"Gulf",0,1
2009,1,"Hendry",0,1
2009,1,"Hernando",0,1
2009,1,"Highlands",0,1
2009,1,"Hillsborough",0,1
2009,1,"HIllsborough",0,1
2009,1,"Indian River",0,1
2009,1,"Lake",0,1
2009,1,"Lee",0,1
2009,1,"Leon",0,1
2009,1,"Manatee",0,1
2009,1,"Marion",0,1
2009,1,"Martin",0,1
2009,1,"Miami-Dade",0,1
2009,1,"Monroe",0,1
2009,1,"Nassau",0,1
2009,1,"Okaloosa",0,1
2009,1,"Orange",0,1
2009,1,"Osceola",0,1
2009,1,"Palm Beach",0,1
2009,1,"Pasco",0,1
2009,1,"Pinellas",0,1
2009,1,"Polk",0,1
2009,1,"Putnam",0,1
2009,1,"Santa Rosa",0,1
2009,1,"Sarasota",0,1
2009,1,"Seminole",0,1
2009,1,"St. Johns",0,1
2009,1,"St. Lucie",0,1
2009,1,"Sumter",0,1
2009,1,"Suwannee",0,1
2009,1,"Volusia",0,1
2009,1,"Washington",0,1
2009,2,"Alachua",0,1
2009,2,"Bay",0,1
2009,2,"Brevard",1,1
2009,2,"Broward",1,1
2009,2,"Charlotte",0,1
2009,2,"Citrus",0,1
2009,2,"Clay",0,1
2009,2,"Collier",0,1
2009,2,"Columbia",0,1
2009,2,"Desoto",0,1
2009,2,"Duval",0,1
2009,2,"Escambia",0,1
2009,2,"Flagler",0,1
2009,2,"Franklin",0,1
2009,2,"Gulf",0,1
2009,2,"Hendry",0,1
2009,2,"Hernando",0,1
2009,2,"Highlands",0,1
2009,2,"Hillsborough",0,1
2009,2,"HIllsborough",0,1
2009,2,"Indian River",0,1
2009,2,"Lake",0,1
2009,2,"Lee",0,1
2009,2,"Leon",0,1
2009,2,"Manatee",0,1
2009,2,"Marion",0,1
2009,2,"Martin",0,1
2009,2,"Miami-Dade",0,1
2009,2,"Monroe",0,1
2009,2,"Nassau",0,1
2009,2,"Okaloosa",0,1
2009,2,"Orange",1,1
2009,2,"Osceola",0,1
2009,2,"Palm Beach",0,1
2009,2,"Pasco",0,1
2009,2,"Pinellas",0,1
2009,2,"Polk",0,1
2009,2,"Putnam",0,1
2009,2,"Santa Rosa",0,1
2009,2,"Sarasota",0,1
2009,2,"Seminole",0,1
2009,2,"St. Johns",0,1
2009,2,"St. Lucie",0,1
2009,2,"Sumter",0,1
2009,2,"Suwannee",0,1
2009,2,"Volusia",0,1
2009,2,"Washington",0,1
2009,3,"Alachua",0,2
2009,3,"Bay",0,2
2009,3,"Brevard",0,2
2009,3,"Broward",0,2
2009,3,"Charlotte",0,2
2009,3,"Citrus",0,2
2009,3,"Clay",0,2
2009,3,"Collier",0,2
2009,3,"Columbia",0,2
2009,3,"Desoto",0,2
2009,3,"Duval",0,2
2009,3,"Escambia",0,2
2009,3,"Flagler",0,2
2009,3,"Franklin",0,2
2009,3,"Gulf",0,2
2009,3,"Hendry",0,2
2009,3,"Hernando",0,2
2009,3,"Highlands",0,2
2009,3,"Hillsborough",0,2
2009,3,"HIllsborough",0,2
2009,3,"Indian River",0,2
2009,3,"Lake",0,2
2009,3,"Lee",0,2
2009,3,"Leon",0,2
2009,3,"Manatee",0,2
2009,3,"Marion",0,2
2009,3,"Martin",0,2
2009,3,"Miami-Dade",2,2
2009,3,"Monroe",0,2
2009,3,"Nassau",0,2
2009,3,"Okaloosa",0,2
2009,3,"Orange",0,2
2009,3,"Osceola",0,2
2009,3,"Palm Beach",0,2
2009,3,"Pasco",0,2
2009,3,"Pinellas",0,2
2009,3,"Polk",0,2
2009,3,"Putnam",0,2
2009,3,"Santa Rosa",0,2
2009,3,"Sarasota",0,2
2009,3,"Seminole",0,2
2009,3,"St. Johns",0,2
2009,3,"St. Lucie",0,2
2009,3,"Sumter",0,2
2009,3,"Suwannee",0,2
2009,3,"Volusia",0,2
2009,3,"Washington",0,2
2009,4,"Alachua",0,2
2009,4,"Bay",0,2
2009,4,"Brevard",0,2
2009,4,"Broward",0,2
2009,4,"Charlotte",0,2
2009,4,"Citrus",0,2
2009,4,"Clay",0,2
2009,4,"Collier",0,2
2009,4,"Columbia",0,2
2009,4,"Desoto",0,2
2009,4,"Duval",0,2
2009,4,"Escambia",0,2
2009,4,"Flagler",0,2
2009,4,"Franklin",0,2
2009,4,"Gulf",0,2
2009,4,"Hendry",0,2
2009,4,"Hernando",0,2
2009,4,"Highlands",0,2
2009,4,"Hillsborough",0,2
2009,4,"HIllsborough",0,2
2009,4,"Indian River",0,2
2009,4,"Lake",0,2
2009,4,"Lee",0,2
2009,4,"Leon",0,2
2009,4,"Manatee",0,2
2009,4,"Marion",0,2
2009,4,"Martin",0,2
2009,4,"Miami-Dade",0,2
2009,4,"Monroe",0,2
2009,4,"Nassau",0,2
2009,4,"Okaloosa",0,2
2009,4,"Orange",0,2
2009,4,"Osceola",0,2
2009,4,"Palm Beach",0,2
2009,4,"Pasco",0,2
2009,4,"Pinellas",0,2
2009,4,"Polk",0,2
2009,4,"Putnam",0,2
2009,4,"Santa Rosa",0,2
2009,4,"Sarasota",0,2
2009,4,"Seminole",0,2
2009,4,"St. Johns",0,2
2009,4,"St. Lucie",0,2
2009,4,"Sumter",0,2
2009,4,"Suwannee",0,2
2009,4,"Volusia",0,2
2009,4,"Washington",0,2
2009,5,"Alachua",0,3
2009,5,"Bay",0,3
2009,5,"Brevard",0,3
2009,5,"Broward",1,3
2009,5,"Charlotte",0,3
2009,5,"Citrus",0,3
2009,5,"Clay",0,3
2009,5,"Collier",0,3
2009,5,"Columbia",0,3
2009,5,"Desoto",0,3
2009,5,"Duval",0,3
2009,5,"Escambia",0,3
2009,5,"Flagler",0,3
2009,5,"Franklin",0,3
2009,5,"Gulf",0,3
2009,5,"Hendry",0,3
2009,5,"Hernando",0,3
2009,5,"Highlands",0,3
2009,5,"Hillsborough",0,3
2009,5,"HIllsborough",0,3
2009,5,"Indian River",0,3
2009,5,"Lake",0,3
2009,5,"Lee",0,3
2009,5,"Leon",0,3
2009,5,"Manatee",0,3
2009,5,"Marion",0,3
2009,5,"Martin",0,3
2009,5,"Miami-Dade",0,3
2009,5,"Monroe",0,3
2009,5,"Nassau",0,3
2009,5,"Okaloosa",0,3
2009,5,"Orange",0,3
2009,5,"Osceola",0,3
2009,5,"Palm Beach",0,3
2009,5,"Pasco",0,3
2009,5,"Pinellas",0,3
2009,5,"Polk",0,3
2009,5,"Putnam",0,3
2009,5,"Santa Rosa",0,3
2009,5,"Sarasota",0,3
2009,5,"Seminole",0,3
2009,5,"St. Johns",0,3
2009,5,"St. Lucie",0,3
2009,5,"Sumter",0,3
2009,5,"Suwannee",0,3
2009,5,"Volusia",0,3
2009,5,"Washington",0,3
2009,6,"Alachua",0,3
2009,6,"Bay",0,3
2009,6,"Brevard",0,3
2009,6,"Broward",0,3
2009,6,"Charlotte",0,3
2009,6,"Citrus",0,3
2009,6,"Clay",0,3
2009,6,"Collier",0,3
2009,6,"Columbia",0,3
2009,6,"Desoto",0,3
2009,6,"Duval",0,3
2009,6,"Escambia",0,3
2009,6,"Flagler",0,3
2009,6,"Franklin",0,3
2009,6,"Gulf",0,3
2009,6,"Hendry",0,3
2009,6,"Hernando",0,3
2009,6,"Highlands",0,3
2009,6,"Hillsborough",0,3
2009,6,"HIllsborough",0,3
2009,6,"Indian River",0,3
2009,6,"Lake",0,3
2009,6,"Lee",0,3
2009,6,"Leon",0,3
2009,6,"Manatee",0,3
2009,6,"Marion",0,3
2009,6,"Martin",0,3
2009,6,"Miami-Dade",0,3
2009,6,"Monroe",0,3
2009,6,"Nassau",0,3
2009,6,"Okaloosa",0,3
2009,6,"Orange",0,3
2009,6,"Osceola",0,3
2009,6,"Palm Beach",0,3
2009,6,"Pasco",0,3
2009,6,"Pinellas",0,3
2009,6,"Polk",0,3
2009,6,"Putnam",0,3
2009,6,"Santa Rosa",0,3
